organization,linkedin,position,startDate,endDate,status,person_id
HHL Leipzig Graduate School of Management,,Projektmanager,2019-12,2020-08,INACTIVE,95
HHL Leipzig Graduate School of Management,,Wissenschaftlicher Mitarbeiter am Lehrstuhl für Finanzen,2011-09,2015-06,INACTIVE,95
Institut für Arbeitsmarkt- und Berufsforschung,https://www.linkedin.com/company/institut-fuer-arbeitsmarkt-und-berufsforschung,Wissenschaftlicher Mitarbeiter am Kompetenzzentrum für empirische Methoden,2009-04,2011-03,INACTIVE,95
Ernst & Young,https://www.linkedin.com/company/1ernst-young,Junior-Consultant,2007-09,2009-01,INACTIVE,95
Technische Universität Berlin,,Präsidentin Technische Universität Berlin,2022-04,,ACTIVE,96
Charité,,Professorin für Medizinische Biometrie,2017-07,,ACTIVE,96
Universitätsklinikum Hamburg Eppendorf,https://www.linkedin.com/company/universit-tsklinikum-hamburg-eppendorf,Professorin für Medizinische Biometrie,2017-01,2017-06,INACTIVE,96
Universitätsklinikum Heidelberg (UKHD),https://www.linkedin.com/company/universitätsklinikum-heidelberg-ukhd,Wissenschaftlerin,2009-07,2016-12,INACTIVE,96
Roche Diagnostics Europe,https://www.linkedin.com/company/roche,Doktorandin,2007-10,2009-04,INACTIVE,96
Billtrust,https://www.linkedin.com/company/billtrust,Sr. Customer Support spec.,2017-01,,ACTIVE,97
Order2Cash,https://www.linkedin.com/company/order2cash,Customer Support Engineer,2017-01,,ACTIVE,97
Electro World s.r.o.,https://www.linkedin.com/company/electro-world,Senior Sales Advisor,2004-08,2016-12,INACTIVE,97
Home Center Wolvega,https://www.linkedin.com/company/home-center-wolvega,Magazijnmedewerker / verkoper,2002,2004,INACTIVE,97
Misereor,https://www.linkedin.com/company/misereor,Personalreferent,1993-09,,ACTIVE,98
St. Josef Hospital Dortmund,,Pflegefachkraft,2023-07,,ACTIVE,99
Selbständig,,freischaffender Künstler,1973,,ACTIVE,100
New York State Developmental Disabilities Advisory Employment and Meaningful Activities Subcommittee,,Subcommittee Member,2024-07,,ACTIVE,101
New York State Developmental Disabilities Advisory Committee,,Committee Member,2022-01,,ACTIVE,101
fitness inclusion network,,Instagram Manager for fitness inclusion network,2020-10,,ACTIVE,101
Superstition Fire & Medical District,https://www.linkedin.com/company/superstition-fire-&-medical-district,Deputy Chief,2024-06,,ACTIVE,102
Superstition Fire & Medical District,https://www.linkedin.com/company/superstition-fire-&-medical-district,Battalion Chief,1999-10,,ACTIVE,102
Dignity Health,https://www.linkedin.com/company/dignity-health,Registered Nurse,2011-09,2019-11,INACTIVE,102
TRATON GROUP,https://www.linkedin.com/company/tratongroup,Product Manager,2025-04,,ACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Product Manager,2022-12,2025-04,INACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Lead Engineer Scania,2021-06,2023-05,INACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Senior Professional I Development Engineer,2020-01,2021-09,INACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Senior Professional I Development Engineer,2019-09,2020-01,INACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Development Engineer,2017-01,2019-09,INACTIVE,103
Scania Group,https://www.linkedin.com/company/scania,Development Engineer,2015-06,2017-01,INACTIVE,103
Papirfly,https://www.linkedin.com/company/papirfly,OM/Customer Success Manager,2023-04,,ACTIVE,104
Kalmar Företagsgrupp KFG,,Styrelseledamot,2023-04,,ACTIVE,104
Offitech AB,https://www.linkedin.com/company/offitech-ab,Specialist på kundutveckling,2021-01,2023-04,INACTIVE,104
Konica Minolta Business Solutions Sweden AB,,Regional Key Account Manager,2019-05,2021-01,INACTIVE,104
STANLEY Security Sverige AB,https://www.linkedin.com/company/stanley-security-sverige-ab,Account Manager,2012-09,2019-05,INACTIVE,104
Niscayah,https://www.linkedin.com/company/niscayah,Account Manager,2012-01,2012-09,INACTIVE,104
Atea Sverige AB,https://www.linkedin.com/company/atea-sverige,Säljare,2010-02,2011-12,INACTIVE,104
Office Document i Kalmar AB,,Säljare,2004-08,2010-02,INACTIVE,104
Nöjab Profil o Reklam AB,,Säljare,2001-03,2004-08,INACTIVE,104
Eniro,https://www.linkedin.com/company/eniro,Telefonsäljare,2000-01,2001-01,INACTIVE,104
ComTech Data,,Säljare kommunikation,1999-01,2000-01,INACTIVE,104
Anni Folli i Kalmar AB,,Ägare,1994-06,1998-12,INACTIVE,104
MAFRA Maile GmbH,,Geschäftsführer,1999-07,,ACTIVE,105
Dynatrace,https://www.linkedin.com/company/dynatrace,Senior Director Product Management,2022-08,,ACTIVE,106
Dynatrace,https://www.linkedin.com/company/dynatrace,Director Product Management,2020-02,2022-08,INACTIVE,106
Emeldi Group,https://www.linkedin.com/company/emeldi-group,CEO Emeldi Technologies,2018-11,2020-01,INACTIVE,106
NTS Retail,https://www.linkedin.com/company/nts-retail,VP Global Alliances,2015-10,2018-10,INACTIVE,106
NTS Retail,https://www.linkedin.com/company/nts-retail,Alliance Manager,2014-03,2015-09,INACTIVE,106
NTS Retail,https://www.linkedin.com/company/nts-retail,Project Manager & Business Consultant,2011-10,2015-08,INACTIVE,106
celum GmbH,https://www.linkedin.com/company/celum,Project Consultant,2011-05,2011-09,INACTIVE,106
Canal marée,,Matelot,2015-08,,ACTIVE,107
Armée de Terre,https://www.linkedin.com/company/armee-de-terre,Armurié,2012-02,2014-02,INACTIVE,107
Armée de Terre,https://www.linkedin.com/company/armee-de-terre,Opérateur radio,2008-02,2012-02,INACTIVE,107
LBS Landesbausparkasse NordWest,https://www.linkedin.com/company/bausparkasse-lbs-nordwestdeutsche-landesbausparkasse,Gebietsleiter LBS NordWest,2012-08,,ACTIVE,108
LBS Landesbausparkasse NordWest,https://www.linkedin.com/company/bausparkasse-lbs-nordwestdeutsche-landesbausparkasse,Gebietsleiter,2012-08,,ACTIVE,108
Bausparkasse Schwäbisch Hall,https://www.linkedin.com/company/bausparkasse-schwabisch-hall,Bezirksdirektor,2005-01,2012-07,INACTIVE,108
Bausparkasse Schwäbisch Hall,https://www.linkedin.com/company/bausparkasse-schwabisch-hall,Bezirksleiter,2001-04,2004-12,INACTIVE,108
Volksbank im Bergischen Land eG,https://www.linkedin.com/company/volksbank-im-bergischen-land,Kundenberater,2000-04,2001-03,INACTIVE,108
Volksbank Lübbecker Land eG,https://www.linkedin.com/company/volksbank-lübbecker-land-eg,Kundenberater,1997-07,2000-03,INACTIVE,108
Roadrunner,https://www.linkedin.com/company/roadrunner-freight,"Chief Financial Officer, Treasurer and Secretary",1990-08,2017-03,INACTIVE,109
Ernst & Young,https://www.linkedin.com/company/1ernst-young,Senior Manager,1981-06,1990-06,INACTIVE,109
Roche,https://www.linkedin.com/company/roche,"Country Lead, Country Clinical Operations",2020-03,,ACTIVE,110
Roche,https://www.linkedin.com/company/roche,Study Start Up / Country Study Specialist,2017-06,2020-02,INACTIVE,110
Parexel,https://www.linkedin.com/company/parexel,‚Unblinded‘ Clinical Study Manager,2014-03,2017-05,INACTIVE,110
Parexel,https://www.linkedin.com/company/parexel,Senior Clinical Research Associate,2013-11,2017-05,INACTIVE,110
Parexel,https://www.linkedin.com/company/parexel,Clinical Research Associate II,2012-12,2013-11,INACTIVE,110
ICON plc,https://www.linkedin.com/company/icon-plc-2,Clinical Research Associate II,2011-02,2012-12,INACTIVE,110
Ecron Acunova,https://www.linkedin.com/company/ecron-acunova,Clinical Research Associate,2008-01,2011-01,INACTIVE,110
Osteopathy am Roemer,,Physiotherapist,2007-08,2009-02,INACTIVE,110
Rieck- Dawson Physiotherapy,,Physiotherapist,2004-05,2007-08,INACTIVE,110
Vic Water,,Director,2014-10,,ACTIVE,111
GWM Water,,Chairman,2011-09,,ACTIVE,111
Belyana P/S,,Executive Director,2010-01,,ACTIVE,111
Vogel P/L,,Executive Director,1980-04,,ACTIVE,111
GWMWater,https://www.linkedin.com/company/gwmwater,Director,1995-01,2013-09,INACTIVE,111
Photron Deutschland GmbH,,Sales Manager,2017-01,,ACTIVE,112
VKT GmbH,,Technischer Berater,2007-09,2016-12,INACTIVE,112
TeleCash GmbH & Co. KG,https://www.linkedin.com/company/telecash,Second Level Support,1997-03,2007-09,INACTIVE,112
Baylor University Point-of-Need Innovations Center,https://www.linkedin.com/company/baylor-university-point-of-need-innovations-center,Undergraduate Research Assistant,2023-08,,ACTIVE,113
Tyson Foods,https://www.linkedin.com/company/tyson-foods,"IT Beef & Pork, Technical Analyst",2024-05,2024-08,INACTIVE,113
Baylor University - School of Education,https://www.linkedin.com/company/baylor-university-—-school-of-education,"Academic Chair, LEAD LLC",2023-07,2024-05,INACTIVE,113
Baylor University - School of Education,https://www.linkedin.com/company/baylor-university-—-school-of-education,"Administrative and Office Assistant, LEAD LLC",2022-07,2024-05,INACTIVE,113
Equinix,https://www.linkedin.com/company/equinix,"Financial Strategy and Transformation, Business Analyst",2023-05,2023-08,INACTIVE,113
Magdaleno's Restaurant,,General Manager,2020-08,2023-05,INACTIVE,113
Financial Conduct Authority,https://www.linkedin.com/company/financial-conduct-authority,Technical Specialist,2006-10,,ACTIVE,114
HM Treasury,https://www.linkedin.com/company/hm-treasury,"Economic Adviser, Financial Services",2002-01,2006-10,INACTIVE,114
Tesla,https://www.linkedin.com/company/tesla-motors,Team Lead Global Supply Management,2023-08,,ACTIVE,115
Tesla,https://www.linkedin.com/company/tesla-motors,Global Supply Analyst,2021-04,2023-08,INACTIVE,115
Berlin-Chemie AG,https://www.linkedin.com/company/berlinchemie,Purchasing Manager,2018-01,2021-03,INACTIVE,115
German-Australian Chamber of Industry and Commerce,https://www.linkedin.com/company/german-australian-chamber-of-industry-and-commerce,Event Assistant,2016-08,2017-02,INACTIVE,115
Robert Bosch Foundation,,Student Assistant,2015-09,2016-07,INACTIVE,115
"Statistisches Bundesamt, Destatis",https://www.linkedin.com/company/statistisches-bundesamt-destatis,International Relation Intern,2015-05,2015-09,INACTIVE,115
Bouygues Energies & Services,https://www.linkedin.com/company/bouyguesenergiesetservices,Bauleitender Elektroinstallateur,,,UNKNOWN,116
Bosch,https://www.linkedin.com/company/bosch,Prozessmanager,1991-06,2021-12,INACTIVE,117
Kanton Luzern,https://www.linkedin.com/company/kanton-luzern,Leiter Projektmanagement / Projektleiter,2023-01,,ACTIVE,118
Kanton Luzern,https://www.linkedin.com/company/kanton-luzern,Mitglied Gemeindeschreiberprüfungskommission,2017-08,2023-07,INACTIVE,118
Kanton Luzern,https://www.linkedin.com/company/kanton-luzern,Jurist,2013-07,2023-01,INACTIVE,118
Kanton Luzern,https://www.linkedin.com/company/kanton-luzern,Mitglied Wirteprüfungskommission,2015-07,2019-07,INACTIVE,118
HSLU Hochschule Luzern,,Dozent Hochschule Luzern,2020-08,,ACTIVE,118
One Point,,Unternehmensinhaber,1996-01,,ACTIVE,119
Neopac,https://www.linkedin.com/company/neopac-the-tube,HR Business Partner,2021-05,,ACTIVE,120
BFB Bildung Formation Biel-Bienne,,Lehrgangsleiter HR-Assistent*in & Referent SB Personalwesen,2024-08,,ACTIVE,120
Gemeinde Münsingen,https://www.linkedin.com/company/gemeinde-münsingen,HR-Fachmann,2017-03,2021-04,INACTIVE,120
Sozialdienst Schwarzenburg,,Sachbearbeiter,2015-08,2017-02,INACTIVE,120
Schweizer Armee,https://www.linkedin.com/company/swiss-armed-forces,Wehrdienst,2015-03,2015-07,INACTIVE,120
Gemeinde Münsingen,https://www.linkedin.com/company/gemeinde-münsingen,Sachbearbeiter,2014-08,2015-02,INACTIVE,120
Gemeinde Münsingen,https://www.linkedin.com/company/gemeinde-münsingen,Kaufmann EFZ,2011-08,2014-07,INACTIVE,120
Hecht,https://www.linkedin.com/company/wijzijnhecht,Corporate recruiter,2021-08,,ACTIVE,121
Van Ameyde Group,https://www.linkedin.com/company/van-ameyde-group,HR Adviseur,2014-09,2021-08,INACTIVE,121
DVDW Advocaten,https://www.linkedin.com/company/dvdw-advocaten,Personeelsadviseur,2013-01,2014-08,INACTIVE,121
Olympia Uitzendbureau,https://www.linkedin.com/company/olympia-nederland,Managing Consultant Secretarieel,2011-08,2012-12,INACTIVE,121
Content Executive,,Managing Consultant,2005-04,2011-08,INACTIVE,121
Content,https://www.linkedin.com/company/content,Projectcoördinator duaal HBO leertraject,2001,2005,INACTIVE,121
Content Uitzendbureau,https://www.linkedin.com/company/content,Senior Consulent Content Uitzendbureau,1987,2000,INACTIVE,121
3F Kommunikation,,Unternehmensinhaber,2002-02,,ACTIVE,122
Cenovus Energy,https://www.linkedin.com/company/cenovus-energy,Sr. Drafting & Design Technologist .,2022-05,,ACTIVE,123
148th FW,,Avionics Sensor Systems and Electronic Warfare Systems,2024-01,,ACTIVE,123
148th FW,,Jet Engine Mechanic,2017-08,2024-01,INACTIVE,123
"Insight Environmental, Inc.",https://www.linkedin.com/company/insight-environmental-inc-,Computer Aided Design Drafter,2019-12,2022-05,INACTIVE,123
Barr Engineering Co.,https://www.linkedin.com/company/barr-engineering-co,Mechanical Designer,2016-01,2019-12,INACTIVE,123
Xaretos,https://www.linkedin.com/company/xaretos-unternehmensberatung,Owner,2012-10,,ACTIVE,124
K&P Computer Service und Vertriebs GmbH,https://www.linkedin.com/company/k&p-computer-service-und-vertriebs-gmbh,Service Director,2010-10,2012-10,INACTIVE,124
ECS Technoservice Solutions AG,https://www.linkedin.com/company/econocom-international-italia,Manager Professional Service,2005-04,2010-09,INACTIVE,124
StorageTek,,Service Manager,2005-01,2005-03,INACTIVE,124
StorageTek,,Business Development Manager,2004-01,2004-12,INACTIVE,124
StorageTek,,Manager Service Sales Germany,2002-04,2004-03,INACTIVE,124
StorageTek,,Manager Professional Services and Support,1999-01,2002-03,INACTIVE,124
ICL Sorbus,,Business Manager Managed Services,1992-01,1998,INACTIVE,124
Granada Computer Services,,Support Engineer,1987-07,1991-12,INACTIVE,124
bp,https://www.linkedin.com/company/bp,Global Category Manager - Technology & Payment Solutions,2022-05,,ACTIVE,125
bp,https://www.linkedin.com/company/bp,Global Procurement & New Business Strategy Manager | Convenience Retail,2020-05,2022-05,INACTIVE,125
bp,https://www.linkedin.com/company/bp,Asia Pacific Procurement Manager | Convenience Retail,2017-02,2020-05,INACTIVE,125
The Kraft Heinz Company,https://www.linkedin.com/company/the-kraft-heinz-company,Procurement Manager - Co Pack AU NZ PNG,2016-10,2017-02,INACTIVE,125
The Kraft Heinz Company,https://www.linkedin.com/company/the-kraft-heinz-company,Procurement Manager - Indirects AU NZ PNG,2016-08,2017-02,INACTIVE,125
Deliveroo,https://www.linkedin.com/company/deliveroo,Live Operations Consultant AUS,2016-06,2016-08,INACTIVE,125
Vocus,https://www.linkedin.com/company/vocus-communications,Procurement Manager ANZ,2014-11,2016-06,INACTIVE,125
Poolwerx Corporation Pty Ltd,https://www.linkedin.com/company/poolwerx-corporation-pty-ltd,Supply Chain/Sourcing Manager ANZ,2012-05,2014-11,INACTIVE,125
Kitchen Connection Australia,https://www.linkedin.com/company/kwb-group,National Procurement & Quality Manager,2010-04,2012-04,INACTIVE,125
Kitchen Connection Australia,https://www.linkedin.com/company/kwb-group,State Purchasing & Quality Manager,2008-05,2010-03,INACTIVE,125
Australian Executor Trustees Limited,https://www.linkedin.com/company/australian-executor-trustees-limited,Account Manager,2006-05,2008-05,INACTIVE,125
Attend (formerly NAHCF),,Office Manager & Finance Administrator,2004-05,2006-04,INACTIVE,125
SHELL INFORMATION TECHNOLOGY INTERNATIONAL BV,,Program Manager,2020-06,,ACTIVE,126
SHELL INFORMATION TECHNOLOGY INTERNATIONAL LIMITED,,Senior Project Manager Upstream,2017-01,2020-06,INACTIVE,126
SHELL INFORMATION TECHNOLOGY INTERNATIONAL LIMITED,,RE IT Lead Practitioner EMEA,2015-04,2016-12,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,"Head, Programme & Assurance",2013-01,2015-03,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,Construction Project Manager,2011-01,2013-01,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,Regional Project Manager,2007-07,2011-03,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,Senior Change Management Advisor,2005-09,2007-06,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,Work Management Consultant,2002-01,2005-09,INACTIVE,126
The Shell Petroleum Development Company of Nigeria Limited,https://www.linkedin.com/company/shell,Project Consultant,1998-07,2002-01,INACTIVE,126
Nigeria LNG Limited,,Project Manager I&C,2000,2001,INACTIVE,126
Wang International Limited,,Business Analyst,1995-09,1998-06,INACTIVE,126
Verschuren Technics,,Managing Director - interim,1997-09,1998-02,INACTIVE,126
Paragraph International Limited,,Assistant to the Director,1995-01,1995-09,INACTIVE,126
Image Brokers Limited,,Managing Director / Partner,1986-07,1995-01,INACTIVE,126
Verschuren Techniek BV,,Assistant Project Manager - parttime,1985-04,1986-06,INACTIVE,126
Paradise Tomato Kitchens - Signature Sauce. Signature Service,https://www.linkedin.com/company/paradise-tomato-kitchens-inc.,Chief Growth Officer,2013,,ACTIVE,127
Paradise Tomato Kitchens - Signature Sauce. Signature Service,https://www.linkedin.com/company/paradise-tomato-kitchens-inc.,"Director of Sales, Marketing and R&D",2013,2013-01,INACTIVE,127
Paradise Tomato Kitchens,,"Director of Sales, Marketing and Customer Experience",2013-01,2013,INACTIVE,127
Foster Farms,https://www.linkedin.com/company/foster-farms,Vice President of Sales Foodservice,2008-01,2012-12,INACTIVE,127
Perdue Farms,https://www.linkedin.com/company/perdue-farms,Division Manager - Eastern,2004-06,2007-11,INACTIVE,127
Aurora Foods / Pinnacle Foods,,V.P. Sales,2000-05,2004-04,INACTIVE,127
Land 'O Lakes,,Director of Sales - Northern USA,1996-05,2000-05,INACTIVE,127
Sara Lee Bakery / Hillshire Farms / Tyson,,Zone Manager - Sales East,1990-01,1996-05,INACTIVE,127
JetBrains,https://www.linkedin.com/company/jetbrains,Senior Software Developer,2022-06,,ACTIVE,128
JetBrains,https://www.linkedin.com/company/jetbrains,Senior Software Developer,2016-08,2022-06,INACTIVE,128
Xored Software Inc,https://www.linkedin.com/company/xored,Senior Software Engineer,2015-08,2016-08,INACTIVE,128
Parallels,https://www.linkedin.com/company/corel-corporation,Senior Software Developer,2011-04,2015-08,INACTIVE,128
FG BCS,https://www.linkedin.com/company/fg-bcs,Senior Software Developer,2008-05,2011-03,INACTIVE,128
Netix,https://www.linkedin.com/company/netix,Senior Software Developer,2004-05,2008-04,INACTIVE,128
Novosoft Ltd.,https://www.linkedin.com/company/novosoft,Software Developer,2003-10,2004-04,INACTIVE,128
Electronic Documents - NSX,,Software Developer,2002-09,2003-12,INACTIVE,128
PLAZAMEDIA GmbH,https://www.linkedin.com/company/plazamedia,Geschäftsführer / CEO&COO,2015-11,,ACTIVE,129
PLAZAMEDIA GmbH,https://www.linkedin.com/company/plazamedia,Geschäftsführer - PLAZAMEDIA Austria GmbH,2015-11,2020-03,INACTIVE,129
PLAZAMEDIA GmbH,https://www.linkedin.com/company/plazamedia,Delegierter des Verwaltungsrats - PLAZAMEDIA Swiss AG,2015-11,2017-01,INACTIVE,129
SPORT1 GmbH,https://www.linkedin.com/company/sport1news,Leiter Technische Koordination/Herstellung,2011-01,2015-10,INACTIVE,129
SPORT1 GmbH,https://www.linkedin.com/company/sport1news,Leiter Produktionsplanung,2009-07,2010-12,INACTIVE,129
SPORT1 GmbH,https://www.linkedin.com/company/sport1news,Produktionsmanager,2008-07,2009-06,INACTIVE,129
Selbstständig,https://www.linkedin.com/company/selbstst-ndig_11,Projektleiter / Mediengestalter / Kameramann,2004-07,2008-06,INACTIVE,129
DNV,https://www.linkedin.com/company/dnv,Customer Executive & Member of Management Northern Europe,2019-06,,ACTIVE,130
DNV,https://www.linkedin.com/company/dnv,Strategic Advisor - CEO Office Energy Systems,2018-06,2019-05,INACTIVE,130
DNV,https://www.linkedin.com/company/dnv,SVP / Business Development Director & Member of Management North America,2016-03,2018-05,INACTIVE,130
DNV,https://www.linkedin.com/company/dnv,"VP / Business Development & Member of Management - Denmark, Sweden, Poland",2013-09,2016-02,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,VP / Regional Manager Sales - Northern & Eastern Europe,2013-01,2013-08,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,Head of Training Academy - Northern & Eastern Europe,2012-04,2013-08,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,VP / Regional Manager - Operations Northern Europe & UK,2012-04,2012-12,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,District Manager - DACH Region,2010-12,2012-03,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,Station Manager,2009-05,2010-11,INACTIVE,130
GL Group,https://www.linkedin.com/company/gl-group,Marine Surveyor & Damage Expert,2006-09,2009-04,INACTIVE,130
E.R. Schiffahrt GmbH & Cie. KG,,Marine Engineer,2004,2006,INACTIVE,130
thyssenkrupp,https://www.linkedin.com/company/thyssenkrupp,Ship Mechanic / Bosun / Trainee,1999,2002,INACTIVE,130
LIZ Smart Office GmbH,https://www.linkedin.com/company/liz-solutions,Senior Software Engineer at LIZ Smart Office GmbH,2021-03,,ACTIVE,131
Searchmetrics,https://www.linkedin.com/company/searchmetrics-inc,Software Engineer,2020-04,2021-02,INACTIVE,131
Searchmetrics,https://www.linkedin.com/company/searchmetrics-inc,Frontend Developer,2016-05,2020-03,INACTIVE,131
Searchmetrics,https://www.linkedin.com/company/searchmetrics-inc,Programmierer,2008-09,2016-04,INACTIVE,131
Searchmetrics,https://www.linkedin.com/company/searchmetrics-inc,Praktikant Web-Entwicklung,2008-03,2008-09,INACTIVE,131
Dürr,https://www.linkedin.com/company/durrglobal,"Industry Segment Manager, Glass",2018-02,2019-07,INACTIVE,132
Dürr,https://www.linkedin.com/company/durrglobal,Senior Business Development Manager,2012-12,2018-01,INACTIVE,132
Haldor Topsoe A/S,https://www.linkedin.com/company/topsoe,Sales Marketing Manager,2010-03,2012-11,INACTIVE,132
Haldor Topsoe A/S,https://www.linkedin.com/company/topsoe,Product Manager,2004-01,2010-02,INACTIVE,132
Haldor Topsoe A/S,https://www.linkedin.com/company/topsoe,Sales Marketing Manager,1999-02,2003-12,INACTIVE,132
BayWa AG,https://www.linkedin.com/company/baywa,Projektmanager M&A,2020-05,2023-12,INACTIVE,133
BayWa AG,https://www.linkedin.com/company/baywa,Werkstudent Corporate M&A,2018-10,2020-04,INACTIVE,133
KPMG,https://www.linkedin.com/company/kpmg,Associate,2016-08,2018-08,INACTIVE,133
Progressive Recruitment,https://www.linkedin.com/company/progressive-recruitment,Recruitment Consultant,2022-04,,ACTIVE,134
Merz Reisen GmbH,,CEO,2019-03,,ACTIVE,135
Elke Wiedner Werbemittel GmbH,,Geschäftsführender Gesellschafter,2004-03,2024-04,INACTIVE,135
Elke Wiedner Werbemittel GmbH,,CEO,2004-03,2024-04,INACTIVE,135
Canon Austria GmbH,https://www.linkedin.com/company/canon-emea,Corporate Communications & Marketing Services Senior Manager,2017-04,,ACTIVE,136
Canon Austria & Canon CEE,,Corporate & Marketing Communications Director,2012-07,2017-03,INACTIVE,136
Canon Austria & Canon CEE,,Corporate Communications Manager,2009-04,2012-06,INACTIVE,136
Canon Austria GmbH,https://www.linkedin.com/company/canon-emea,Corporate Communications Manager,2003-05,2009-03,INACTIVE,136
Canon Austria GmbH,https://www.linkedin.com/company/canon-emea,B2B Marcoms & Product Manager LFP,2000-11,2003-04,INACTIVE,136
C.A.R.L. creativ,,Communications Consultant,2000-02,2000-08,INACTIVE,136
Agfa,https://www.linkedin.com/company/agfa,Marketing Assistant,1997-02,1999-11,INACTIVE,136
Scope International AG,https://www.linkedin.com/company/scope-international-ag,International Clinical Project Manager,2011-04,,ACTIVE,137
Scope International AG,https://www.linkedin.com/company/scope-international-ag,Project Manager Associate,2009-09,2011-03,INACTIVE,137
Max Planck Institute for Medical Research,https://www.linkedin.com/company/mpimr,Postdoctoral Fellow,2009-03,2009-08,INACTIVE,137
Biomedical Research Centre,,Diploma Thesis,2004-08,2005-07,INACTIVE,137
TRIUMF,https://www.linkedin.com/company/triumf,2nd Internship,2003-03,2003-08,INACTIVE,137
Abbott,https://www.linkedin.com/company/abbott-,1st Internship,2001-09,2002-02,INACTIVE,137
Volkswagen AG,https://www.linkedin.com/company/volkswagen-group,Leiter Inhouse Logistik,2021-12,,ACTIVE,138
MAN Truck & Bus SE,https://www.linkedin.com/company/man-commercial-vehicles,Planungsleiter,2001-10,2021-11,INACTIVE,138
Microsoft,https://www.linkedin.com/company/microsoft,Technology Lead Germany - Global Partner Solutions,2023-11,,ACTIVE,139
Microsoft,https://www.linkedin.com/company/microsoft,Manager Strategy & Innovation Team,2016-08,2023-11,INACTIVE,139
Microsoft,https://www.linkedin.com/company/microsoft,Chief Architect Microsft Services Deutschland,2013-08,2016-07,INACTIVE,139
Microsoft,https://www.linkedin.com/company/microsoft,Industry Architect - Communications Industry,2009-01,2013-07,INACTIVE,139
HP,https://www.linkedin.com/company/hp,Architect for Network Service Provider Solutions,2000-01,2008-12,INACTIVE,139
CAM Systems Consulting GmbH,,Software Developer and Architect - Spacecraft Mission Control Software,1996-05,1999-12,INACTIVE,139
Bustec,https://www.linkedin.com/company/bustec,Director of Sales and Marketing,2025-01,,ACTIVE,140
HBK - Hottinger Brüel & Kjær,https://www.linkedin.com/company/hbkworld-test-and-measurement,Vertriebsingenieur Außendienst Automotive,2022-01,2025-01,INACTIVE,140
HBM,https://www.linkedin.com/company/hbm-test-and-measurement,Vertriebsingenieur Außendienst T&M,2016-06,2022-01,INACTIVE,140
HBM,https://www.linkedin.com/company/hbm-test-and-measurement,Vertriebsinnendienst,2012-03,2016-06,INACTIVE,140
Germania Werke Schubert GmbH,,Vertriebsmitarbeiter,2011-04,2012-02,INACTIVE,140
KnowBe4,https://www.linkedin.com/company/knowbe4,Customer Success Manager,2024-09,,ACTIVE,141
Ryangolf Corporation,https://www.linkedin.com/company/ryangolf-corporation,Project Manager,2023-09,2024-09,INACTIVE,141
Carrabba's Italian Grill,https://www.linkedin.com/company/carrabba's-italian-grill,Off Premise Manager,2021-02,2023-11,INACTIVE,141
Luxottica Group,https://www.linkedin.com/company/luxottica,Trade Marketing Manager,2012-04,,ACTIVE,142
Whirlpool EMEA,https://www.linkedin.com/company/whirlpool-corporation,Trade Marketing Manager,2008-09,2012-04,INACTIVE,142
Whirlpool EMEA,https://www.linkedin.com/company/whirlpool-corporation,Marketing Assistant,2006-02,2008-09,INACTIVE,142
UBS,https://www.linkedin.com/company/ubs,Head Currency Solutions,2024-09,,ACTIVE,143
Credit Suisse Asset Management,,Currency Overlay Manager,2017-03,,ACTIVE,143
Credit Suisse Asset Management,,Head Currency Solutions,2020-01,2024-09,INACTIVE,143
Swiss Bond Commission,,Board Member,2009,,ACTIVE,143
Credit Suisse,https://www.linkedin.com/company/credit-suisse,Senior Fixed Income Portfolio Manager,2011-09,2017-02,INACTIVE,143
Zürcher Kantonalbank,https://www.linkedin.com/company/zkb-ch,Senior Fixed Income Portfolio Manager,2006-01,2011-08,INACTIVE,143
Swisscanto,,Fixed Income Portfolio Manager (Trainee Program),2007,2007,INACTIVE,143
Neue Zürcher Zeitung,https://www.linkedin.com/company/neue-zurcher-zeitung,Financial & Economic Journalist,2004-01,2005-12,INACTIVE,143
Artemis ITS,https://www.linkedin.com/company/artemis-its,SVP Sales & Accounts,2022-03,,ACTIVE,144
CGI,https://www.linkedin.com/company/cgi,acting Vice President Consulting Services,2019-05,2022-02,INACTIVE,144
CGI,https://www.linkedin.com/company/cgi,Director Consulting Services,2017-06,2019-04,INACTIVE,144
