organization,linkedin,position,startDate,endDate,status,department,seniority,person_id
Rutledge Ecenia,https://www.linkedin.com/company/rutledge-ecenia-p.a.,Partner,1993,2005-03,INACTIVE,Business Development,Management,170
Benteler Distribution,,Betriebsleiter,2012-09,,ACTIVE,Other,Lead,171
ZF Group,https://www.linkedin.com/company/zf-group,Chief Executive Officer,2023-01,,ACTIVE,Other,Management,172
ZF Group,https://www.linkedin.com/company/zf-group,Member of the Board of Management,2018-10,2022-12,INACTIVE,Other,Management,172
ZF Group,https://www.linkedin.com/company/zf-group,Senior Vice President - Division Chassis Technology,2017-01,2018-09,INACTIVE,Other,Management,172
ZF Group,https://www.linkedin.com/company/zf-group,Executive Vice President,2014-10,2016-12,INACTIVE,Other,Management,172
McKinsey & Company,https://www.linkedin.com/company/mckinsey,Consultant - Düsseldorf / Chicago Office,1998-03,2014-09,INACTIVE,Consulting,Professional,172
Mediaschneider AG,https://www.linkedin.com/company/mediaschneider-ag,Chief Strategy Officer (CSO),2023-01,,ACTIVE,Other,Management,173
Publicis Media,,Strategic Resources Director,2007-11,2022-12,INACTIVE,Business Development,Director,173
MEDIALOGICS,https://www.linkedin.com/company/medialogics,Head of Research,2002-10,2007-10,INACTIVE,Other,Lead,173
IFAK GmbH,,Project Manager Market Research & Methodology,1999-10,2002-09,INACTIVE,Project Management,Professional,173
ZMG Zeitungs Marketing Gesellschaft,,Project Manager Research,1998-08,1999-09,INACTIVE,Project Management,Professional,173
SEVEN PRINCIPLES AG,https://www.linkedin.com/company/seven-principles-ag,Lead Consultant,2012-10,2017-07,INACTIVE,Consulting,Lead,174
PwC,https://www.linkedin.com/company/pwc,Consultant,2011-10,2012-09,INACTIVE,Consulting,Professional,174
Kochan & Partner,https://www.linkedin.com/company/kochanpartner,Project Manager,2008-08,2011-04,INACTIVE,Project Management,Professional,174
Sunny Systems GmbH,,Network Solutions Director,2005-04,2006-07,INACTIVE,Information Technology,Director,174
PMCS,https://www.linkedin.com/company/pmcs,CTO,,,UNKNOWN,Information Technology,Management,175
AVL,https://www.linkedin.com/company/avl,Software Developer,2011-01,,ACTIVE,Information Technology,Professional,176
Freelancer,,Software Developer,2001-08,2010-12,INACTIVE,Information Technology,Professional,176
Vejle Brand,https://www.linkedin.com/company/vejlebrand,CTO,2024-03,,ACTIVE,Information Technology,Management,177
Kodestuen,https://www.linkedin.com/company/kodestuen,Self-Employed at Kodestuen ApS,2009-05,,ACTIVE,Other,Professional,177
Massive Dynamics,,Founder and co-owner,2015-01,2017-09,INACTIVE,Other,Management,177
NORRIQ,https://www.linkedin.com/company/norriq,Microsoft .NET & Dynamics CRM Consultant,2008-04,2009-05,INACTIVE,Consulting,Professional,177
Vestas,https://www.linkedin.com/company/vestas,Udviklingsteamleder,2007-08,2008-03,INACTIVE,Information Technology,Lead,177
Sanistål A/S,https://www.linkedin.com/company/sanistal-as,E-business Consultant,2003-03,2007-08,INACTIVE,Consulting,Professional,177
Conscius,https://www.linkedin.com/company/midas-energy,Software Developer,2000-12,2003-02,INACTIVE,Information Technology,Professional,177
Human Zoo,,Developer,1999-08,2000-11,INACTIVE,Information Technology,Professional,177
Trierischer Volksfreund,https://www.linkedin.com/company/trierischer-volksfreund,Vertrieb Außendienst,,,UNKNOWN,Sales,Professional,178
ACE Auto Club Europa e. V.,https://www.linkedin.com/company/ace-auto-club-europa-e-v-,Projektkoordinator,2022-01,,ACTIVE,Project Management,Lead,179
ACE Auto Club Europa e. V.,https://www.linkedin.com/company/ace-auto-club-europa-e-v-,"Regionalbeauftragter Club Sachsen, Thüringen, Sachsen-Anhalt Süd",2021-06,,ACTIVE,Other,Lead,179
ACE Auto Club Europa e. V.,https://www.linkedin.com/company/ace-auto-club-europa-e-v-,Regionalbeauftragter Club Bayern,2019-06,2021-06,INACTIVE,Other,Lead,179
Europabüro I MEP Ismail Ertug,,Politischer Referent I Büroleiter Europabüro,2018-06,2019-05,INACTIVE,Other,Lead,179
Europabüro I MEP Ismail Ertug,,Wissenschaftlicher Assistent,2017-06,2018-05,INACTIVE,Other,Junior,179
Kroon & de Koning BV,https://www.linkedin.com/company/kroon-de-koning,Hoofd Bouwbureau,2021-09,,ACTIVE,Other,Lead,180
Kroon & de Koning BV,https://www.linkedin.com/company/kroon-de-koning,Projectleider,2015-07,2021-08,INACTIVE,Project Management,Lead,180
Dura Vermeer,https://www.linkedin.com/company/dura-vermeer,Tendermanager,2014-01,2015-06,INACTIVE,Purchasing,Director,180
BoAZ bouw,,Owner,2009-01,2014-12,INACTIVE,Other,Management,180
Van Wijnen Groep NV,https://www.linkedin.com/company/van-wijnen,Projectleider,2004-12,2008-09,INACTIVE,Project Management,Lead,180
HBG Woningbouw,,Projectorganisator,1999-03,2004-12,INACTIVE,Project Management,Lead,180
Siemens Energy,https://www.linkedin.com/company/siemens-energy,Head of Package & Installation Design IGC,2023-09,,ACTIVE,Project Management,Lead,181
Siemens Energy,https://www.linkedin.com/company/siemens-energy,Functional Team Lead,,,UNKNOWN,Other,Lead,181
Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,https://www.linkedin.com/company/gizgmbh,Director General Sector and Global Programmes,2025-05,,ACTIVE,Other,Director,182
Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,https://www.linkedin.com/company/gizgmbh,Landesdirektor,2023-09,,ACTIVE,Other,Director,182
Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,https://www.linkedin.com/company/gizgmbh,Bereichsleiter Personal,,,UNKNOWN,Human Resources,Lead,182
Ground2air Assistance,,Station Manager at Ground2Air in Palma de Mallorca,2021-05,,ACTIVE,Other,Lead,183
"AGA Airlines Ground Assistance, SL",,Network & Ground Operations Coordinator,1997-10,2020-09,INACTIVE,Other,Lead,183
"AGA Airlines Ground Assistance, SL",,Station Manager PMI Station,2000-12,2006-09,INACTIVE,Other,Lead,183
Med AeroServices SL,,Shift Staff / Shift Manager,1987-05,1997-10,INACTIVE,Other,Lead,183
Elite Electrodomésticos,,Administration / Ware house manager,1990,1996,INACTIVE,Administrative,Lead,183
SEUR,https://www.linkedin.com/company/seur,Night Shift Operator,1990,1992,INACTIVE,Other,Professional,183
Catering Pequeño Mundo / Eurest,,Shift staff / Production Manager,1981,1991,INACTIVE,Other,Lead,183
St. Walburga Krankenhaus Meschede GmbH,https://www.linkedin.com/company/st-walburga-krankenhaus-meschede-gmbh,Bereichs PDL,2005-12,,ACTIVE,Other,Lead,184
Sintec,https://www.linkedin.com/company/sintec,Geschäftsführer,,,UNKNOWN,Other,Management,185
Sintec,https://www.linkedin.com/company/sintec,Geschäftsführer,,,UNKNOWN,Other,Management,185
TouchPoint Communication AG,https://www.linkedin.com/company/touchpoint-communication-ag,Geschäftsinhaber,1985,,ACTIVE,Other,Management,186
APOGEPHA Arzneimittel GmbH,https://www.linkedin.com/company/apogepha-arzneimittel-gmbh-dresden,Geschäftsführer CFO,2024-03,,ACTIVE,Other,Management,187
APOGEPHA Arzneimittel GmbH,https://www.linkedin.com/company/apogepha-arzneimittel-gmbh-dresden,"Director Finance&Controlling / Prokurist (Bereichsleiter mit Verantwortung IT, Einkauf)",2014-12,2024-03,INACTIVE,Other,Lead,187
Howden Turbowerke GmbH,https://www.linkedin.com/company/howden,Finance Director / CFO,2010-04,2014-11,INACTIVE,Other,Management,187
Signet Solar GmbH,,Manager Finance (Accounting&Controlling),2009-05,2010-04,INACTIVE,Other,Professional,187
Qimonda Dresden GmbH & Co. OHG,,Manager Finance (Accounting&Controlling),2006-05,2009-04,INACTIVE,Other,Professional,187
Infineon Technologies,https://www.linkedin.com/company/infineon-technologies,Financial Analyst,2001-10,2006-04,INACTIVE,Other,Professional,187
Semiconductor300 GmbH (Siemens - Motorola JV),,Financial Analyst,1999-03,2001-09,INACTIVE,Other,Professional,187
LABORATOIRE SION,,Responsable des ressources humaines,,,UNKNOWN,Human Resources,Lead,188
ALPS ALPINE Europe,https://www.linkedin.com/company/alps-alpine-europe,Senior Project Leader,2021-09,,ACTIVE,Project Management,Lead,189
Alpine Electronics GmbH,,Produktmanager,2017-11,2021-09,INACTIVE,Project Management,Professional,189
Alpine Electronics GmbH,,Senior Project Manager,2012-08,2017-10,INACTIVE,Project Management,Senior,189
Alpine Electronics GmbH,,Project Manager,2010-04,2012-07,INACTIVE,Project Management,Professional,189
Alpine Electronics R&D Europe GmbH,,Functional Owner im Bereich Diagnose und Systemfunktionen,2007-04,2010-03,INACTIVE,Information Technology,Lead,189
Alpine Electronics GmbH,,Senior Software Engineer,2006-08,2007-03,INACTIVE,Information Technology,Senior,189
Alpine Electronics GmbH,,Embedded Software Ingenieur,2004-10,2006-07,INACTIVE,Information Technology,Professional,189
Ygdrasil Press,,"Editor, Publisher",,,UNKNOWN,Other,Professional,190
August Gschwander Transport GmbH,,Selbstständig,,,UNKNOWN,Other,Professional,191
Alium Technology AG,,Verwaltungsratsvorsitzender,2015-01,,ACTIVE,Other,Management,192
Société Horlogère Reconvilier AG,,CEO,2009-12,2015,INACTIVE,Other,Management,192
freenet AG/mobilcom-debitel,,CEO,1999,2009,INACTIVE,Other,Management,192
"freenet.de AG, Hamburg",,CEO,1999,2009,INACTIVE,Other,Management,192
Booz & Company,https://www.linkedin.com/company/strategyand,Management Consultant,1993,1997,INACTIVE,Consulting,Professional,192
HWK Erfurt,,Dozent/ Ausbilder,2005-11,,ACTIVE,Other,Professional,193
VID vitenskapelige høgskole,,"Teamleder arkitektur, drift og sikkerhet IT-seksjonen VID",2019-06,,ACTIVE,Information Technology,Lead,194
Diakonhjemmet Høgskole,,It-konsulent,,,UNKNOWN,Information Technology,Professional,194
"AMI Mechanical, Inc.",https://www.linkedin.com/company/ami-mechanical-inc.,Mechanical Engineer,2015-07,2015-09,INACTIVE,Other,Professional,195
Winkelmann Group,https://www.linkedin.com/company/winkelmann-group,Dualer Student,2018-08,2023-01,INACTIVE,Other,Junior,196
Ecole Hôtelière de Genève | EHG,,Responsable technique,2016-08,,ACTIVE,Information Technology,Lead,197
MORI PISCINES SA,https://www.linkedin.com/company/mori-piscines-sa,Responsable magasinier,2012-04,2015-05,INACTIVE,Purchasing,Lead,197
HEXAGONE MANUFACTURE,https://www.linkedin.com/company/hexagonesportrobotics,Représentant technico-commercial,2006-10,2012-03,INACTIVE,Sales,Professional,197
DESA AUTOGLASS AG,https://www.linkedin.com/company/desa-autoglass-ag,Technicien pour vitrage automobile,2005-09,2006-09,INACTIVE,Other,Professional,197
Touring Club Suisse,https://www.linkedin.com/company/touring-club-suisse,Patrouilleur,2001-07,2003-11,INACTIVE,Other,Professional,197
Grand Garage Plan-les-Ouates,,Magasinier,2000-07,2001-06,INACTIVE,Other,Professional,197
Little Cars Garage,,Chef d'atelier,1998-08,2000-05,INACTIVE,Other,Lead,197
Luxcenture,https://www.linkedin.com/company/luxcentureconnect,Partner,2023-08,,ACTIVE,Business Development,Management,198
Weber Advisory Consulting,https://www.linkedin.com/company/weber-advisory-consulting,Founder,2015-12,,ACTIVE,Other,Management,198
CROWDLITOKEN,https://www.linkedin.com/company/crowdlitoken,CFO,2022-04,2022-12,INACTIVE,Other,Management,198
Mercury Forex AG,,Portfolio Manager,2016-01,2020-09,INACTIVE,Other,Professional,198
Independent Trader and Consultant,,Trader,2014-04,2016-01,INACTIVE,Other,Professional,198
A&M Trading Capital AG,,Portfolio Manager,2012-01,2014-04,INACTIVE,Other,Professional,198
UBS FX Sales Institutional and private clients,https://www.linkedin.com/company/ubs,Executive Director,1998-10,2011-11,INACTIVE,Other,Management,198
UBS FX Sales Institutional and private clients,https://www.linkedin.com/company/ubs,FX Sales,1998,2011,INACTIVE,Sales,Professional,198
UBS FX Sales Institutional and private clients,https://www.linkedin.com/company/ubs,FX Advisory DAC,1998,2011,INACTIVE,Consulting,Professional,198
Quorum Trading,,Founding Partner,1996-05,1998-09,INACTIVE,Other,Management,198
ABN AMRO Bank N.V.,https://www.linkedin.com/company/abn-amro,"Forex dealer, spot, forward, FX-Sales",1989-03,1996-04,INACTIVE,Sales,Professional,198
Mittelstars,https://www.linkedin.com/company/mittelstars,Geschäftsführer und Podcast-Host,2024-01,,ACTIVE,Other,Management,199
Firstlead GmbH / ADCELL,https://www.linkedin.com/company/adcell-firstlead-gmbh,Geschäftsführender Gesellschafter,2004-05,,ACTIVE,Other,Management,199
Bermuc Holding GmbH,,Geschäftsführender Gesellschafter,2015-04,,ACTIVE,Other,Management,199
Businessangels.de,,Geschäftsführender Gesellschafter,2003-01,,ACTIVE,Other,Management,199
Smartbroker Holding AG,https://www.linkedin.com/company/smartbroker-holding,Aufsichtsrat,2020-08,,ACTIVE,Other,Management,199
Smart Shopping and Saving GmbH,https://www.linkedin.com/company/smart-shopping-and-saving-gmbh,Geschäftsführer,2009-01,2019-07,INACTIVE,Other,Management,199
Entsorgung Punkt DE GmbH,,Entsorgung Punkt DE GmbH,2003-01,2018-12,INACTIVE,Other,Professional,199
F Henningsen ApS,,Business Consultant,2016-06,,ACTIVE,Consulting,Professional,200
Taasinge Elementer,https://www.linkedin.com/company/taasinge-elementer,Business Development Consultant,2024-01,2024-10,INACTIVE,Consulting,Professional,200
Nordic Build,https://www.linkedin.com/company/nordic-build,MD / Adm. Direktør,2022-05,2023-11,INACTIVE,Other,Director,200
Domu A/S,https://www.linkedin.com/company/domu-aps,"COO, Factory Director",2020-08,2022-04,INACTIVE,Other,Management,200
Taasinge Elementer,https://www.linkedin.com/company/taasinge-elementer,"COO, Supply Chain Director, Co-owner",2017-08,2019-06,INACTIVE,Other,Management,200
Taasinge Elementer,https://www.linkedin.com/company/taasinge-elementer,Director / Co-owner,2016-08,2017-07,INACTIVE,Other,Director,200
Taasinge Elementer,https://www.linkedin.com/company/taasinge-elementer,"Director, Element Division",2014-11,2016-07,INACTIVE,Other,Director,200
Andresen Towers A/S,,Procurement & Logistic Manager,2011-11,2014-10,INACTIVE,Purchasing,Professional,200
Hjem-IS A/S,https://www.linkedin.com/company/hjem-is,Nordic Supply Chain Manager,2010-05,2011-10,INACTIVE,Other,Professional,200
Planova A/S,,Supply Chain Manager,2008-12,2010-04,INACTIVE,Other,Professional,200
Ib Andresen Industri A/S,https://www.linkedin.com/company/ib-andresen-industri,Logistics & Quality Manager,2007-08,2008-11,INACTIVE,Other,Professional,200
Ib Andresen Industri A/S,https://www.linkedin.com/company/ib-andresen-industri,Logistics Manager,2002-02,2007-07,INACTIVE,Other,Professional,200
Riegens A/S,https://www.linkedin.com/company/sg-armaturen,Project Engineer,2000-02,2002-01,INACTIVE,Project Management,Professional,200
International Brigade / Nato,,OBS Sergeant,1997-07,1998-01,INACTIVE,Other,Professional,200
McDonalds DK,,Manager,1990,1998,INACTIVE,Other,Professional,200
Danske Livregiment (Army),,OBS Sergeant,1993-01,1994-11,INACTIVE,Other,Professional,200
Instituto Vladimir Herzog,https://www.linkedin.com/company/instituto-vladimir-herzog,President Of The Board Of Directors,2017-07,,ACTIVE,Other,Management,201
Instituto Vladimir Herzog,https://www.linkedin.com/company/instituto-vladimir-herzog,Executive Managing Director,2009-06,2017-07,INACTIVE,Other,Management,201
Beerpizza,,Company Owner,2018-12,2021-08,INACTIVE,Other,Management,201
EMPRESA METROPOLITANA DE TRANSPORTES URBANOS DE SÃO PAULO – EMTU/SP,https://www.linkedin.com/company/empresa-metropolitana-de-transportes-urbanos-de-s-o-paulo-emtu-sp,President Advisor,2011-02,2011-05,INACTIVE,Consulting,Management,201
SECRETARY of PLANNING and ECONOMICS,,Assessor,2009-04,2011-01,INACTIVE,Other,Professional,201
IRGA,,Consultant,2007-06,2007-12,INACTIVE,Consulting,Professional,201
Carrefour,https://www.linkedin.com/company/carrefour,Director,2006-01,2007-01,INACTIVE,Other,Director,201
Ceva Logistics,,Director Logistics,2004-11,2005-09,INACTIVE,Other,Director,201
Ambev,https://www.linkedin.com/company/ab-inbev,Corporate Transportation Manager,2002-03,2004-04,INACTIVE,Other,Professional,201
DHL/Danzas,https://www.linkedin.com/company/dhl,Director Logistics,2000-03,2002-02,INACTIVE,Other,Director,201
McLane,https://www.linkedin.com/company/mclane-company,Logistics Manager,1999,2000,INACTIVE,Other,Professional,201
General Motors do Brasil,https://www.linkedin.com/company/general-motors,Supervisor de Logística,1997-08,1999-04,INACTIVE,Other,Lead,201
Ryder,https://www.linkedin.com/company/ryder-system-inc,Traineer,1998,1998,INACTIVE,Other,Junior,201
Athos TI,,System Analyst,1991-11,1995-06,INACTIVE,Information Technology,Professional,201
Landwirtschaft,,Landwirt,,,UNKNOWN,Other,Professional,202
Raiffeisen Bank International AG,https://www.linkedin.com/company/raiffeisen-bank-international,Head of Group Capital Markets,2023-09,,ACTIVE,Other,Lead,203
Raiffeisen Bank International AG,https://www.linkedin.com/company/raiffeisen-bank-international,Head of Group Capital Markets/ Trading & Institutional Sales,2019-07,2023-09,INACTIVE,Sales,Lead,203
Erste Group Bank AG,https://www.linkedin.com/company/erste-group-bank-ag,Head of Group Securities Markets,2018-01,2019-04,INACTIVE,Other,Lead,203
Erste Group Bank AG,https://www.linkedin.com/company/erste-group-bank-ag,Head of Group Fixed Income Trading,2015-01,2017-12,INACTIVE,Other,Lead,203
Erste Group Bank AG,https://www.linkedin.com/company/erste-group-bank-ag,"Various management positions in Trading, Structuring and Alternative Investments",2007-09,2014-12,INACTIVE,Other,Management,203
LBBW,https://www.linkedin.com/company/lbbw,Head of Structured Credit and Fund Derivatives,2003-07,2007-09,INACTIVE,Other,Lead,203
LBBW,https://www.linkedin.com/company/lbbw,Head of Credit Spread Products,1999-04,2003-06,INACTIVE,Other,Lead,203
SüdwestLB,,Interest Rate Derivatives Trader,1998-04,1999-03,INACTIVE,Other,Professional,203
SüdwestLB,,Derivatives Sales,1996-11,1998-03,INACTIVE,Sales,Professional,203
FRENCON Frosch Engineering & Consulting,,Executive Advisor,,,UNKNOWN,Consulting,Management,204
European Patent Office,https://www.linkedin.com/company/european-patent-office,Chairman of Board of Appeal and Member of Enlarged Board of Appeal,2018-04,,ACTIVE,Other,Management,205
European Patent Office,https://www.linkedin.com/company/european-patent-office,Member and Deputy Chairman of Board of Appeal,2010-01,2018-03,INACTIVE,Other,Management,205
European Patent Office,https://www.linkedin.com/company/european-patent-office,Patent Examiner,2000-10,2009-12,INACTIVE,Other,Professional,205
Akzo Nobel,,European patent attorney trainee,1997-09,2000-09,INACTIVE,Other,Junior,205
Akzo Nobel,,Research Chemist,1996-05,1997-08,INACTIVE,Other,Professional,205
Raymond James,https://www.linkedin.com/company/raymond-james-financial-inc-,Citrix Systems Engineer,2024-10,,ACTIVE,Information Technology,Professional,206
Coretek Services,https://www.linkedin.com/company/coretekservices,Enterprise Consultant,2019-10,2024-10,INACTIVE,Consulting,Professional,206
CareTech Solutions,,Solutions Architect,2018-05,2019-10,INACTIVE,Information Technology,Professional,206
Ally Financial Inc.,https://www.linkedin.com/company/ally,Senior Citrix Engineer,2013-03,2018-05,INACTIVE,Information Technology,Senior,206
Custom Business Solutions,,Senior Consultant,2012-08,2013-03,INACTIVE,Consulting,Senior,206
Comerica Bank,https://www.linkedin.com/company/comerica-bank,Contractor,2012-08,2013-03,INACTIVE,Other,Professional,206
Secure-24,https://www.linkedin.com/company/secure-24,Microsoft Engineer,2010-08,2012-06,INACTIVE,Information Technology,Professional,206
Trinity Health,,Senior LAN Technician,2005-03,2010-08,INACTIVE,Information Technology,Senior,206
Wayne State University,,Computer Tech III,1998-03,2005-03,INACTIVE,Information Technology,Senior,206
Amsterdam UMC,https://www.linkedin.com/company/amsterdamumc,Anesthesiemedewerker,2024-02,,ACTIVE,Other,Professional,207
Amsterdam UMC,https://www.linkedin.com/company/amsterdamumc,Verpleegkundige,2022-06,2024-03,INACTIVE,Other,Professional,207
Amsterdam UMC,https://www.linkedin.com/company/amsterdamumc,Verpleegkundestudent,2021-09,2022-04,INACTIVE,Other,Junior,207
Amsterdam UMC,https://www.linkedin.com/company/amsterdamumc,Verpleegkundestudent,2020-09,2021-02,INACTIVE,Other,Junior,207
Amstelring,https://www.linkedin.com/company/amstelring,Verpleegkundestudent,2019-09,2019-11,INACTIVE,Other,Junior,207
Amsterdam UMC Hartcentrum,https://www.linkedin.com/company/hartcentrum-amsterdam-umc,Verpleegkundestudent,2019-02,2019-04,INACTIVE,Other,Junior,207
Mikro-Technik Plastics AG,,Managing Director,,,UNKNOWN,Other,Management,208
DeWal Europe,,Owner,,,UNKNOWN,Other,Management,208
DB Schenker Schweiz AG,,Teamleiter Logistik,2014-06,2024-08,INACTIVE,Other,Lead,209
DB Schenker Deutschland AG,,Teamleiter Logistik,2011-11,2014-05,INACTIVE,Other,Lead,209
ARWE Service GmbH Flughafen München,,Schichtleiter Mietwagenrückgabe,2010-12,2011-10,INACTIVE,Other,Lead,209
Concrete Conservation Europe GmbH,,Sanierungsarbeiter,2009-09,2010-11,INACTIVE,Other,Professional,209
Brauerei Rapp AG,,Aussendienstmitarbeiter,2001-07,2009-06,INACTIVE,Sales,Professional,209
VR Payment GmbH,https://www.linkedin.com/company/vrpayment,Vertriebsdirektor,2024-01,,ACTIVE,Sales,Director,210
VR Payment GmbH,https://www.linkedin.com/company/vrpayment,Regionalleiter Bankenbetreuung Baden-Württemberg,2019-01,,ACTIVE,Sales,Lead,210
Donau-Iller Bank eG,,Zahlungsverkehrsexperte,2014-10,2018-12,INACTIVE,Other,Professional,210
Raiffeisenbank Donau-Iller eG (ehem. Raiffeisenbank Dietenheim eG),,"Elektronische Bankdienstleistungen, IT-Administration, Organisation",2002-09,2014-09,INACTIVE,Information Technology,Professional,210
Raiffeisenbank Dietenheim eG,,"Elektronische Bankdienstleistungen, IT-Administration, Organisation, Controlling, Rechnungswesen",2000-07,2002-08,INACTIVE,Other,Professional,210
Bundeswehr Wir. Dienen. Deutschland.,https://www.linkedin.com/company/dt-bundeswehr,"Jäger, Fernmelder (Hauptgefreiter der Reserve)",1999-09,2000-06,INACTIVE,Other,Professional,210
Raiffeisenbank Dietenheim eG,,"Elektronische Bankdienstleistungen, IT-Administration",1999-03,1999-08,INACTIVE,Information Technology,Professional,210
Raiffeisenbank Dietenheim eG,,Ausbildung zum Bankkaufmann,1996-08,1999-02,INACTIVE,Other,Junior,210
Montera ApS,https://www.linkedin.com/company/monteradk,Projektleder,2024-03,,ACTIVE,Project Management,Lead,211
Hdbyg,,Byggeleder,2023-11,2024-03,INACTIVE,Project Management,Lead,211
Attention Group A/S,https://www.linkedin.com/company/attention-group-a-s,Head of Design & Development,2008-01,2023-11,INACTIVE,Information Technology,Lead,211
Uttrup Tæpper og gardiner,,Afdelings leder,1999-01,2000-05,INACTIVE,Other,Lead,211
Living Art A/S,,Technician,1994-05,1999-01,INACTIVE,Information Technology,Professional,211
GENUSSMOMENTE für digitales Zusammensein,,Geschäftsführer,2020-03,,ACTIVE,Other,Management,212
GENUSSMOMENTE für digitales Zusammensein,,Geschäftsführer,2020-03,,ACTIVE,Other,Management,212
GENUSSMOMENTE für digitales Zusammensein,,Geschäftsführer,2020-03,,ACTIVE,Other,Management,212
KAISERSCHOTE Feinkost Catering GmbH,https://www.linkedin.com/company/kaiserschote,CEO,1992-11,,ACTIVE,Other,Management,212
KAISERSCHOTE Feinkost Catering GmbH,https://www.linkedin.com/company/kaiserschote,Impulsgeber bei KAISERSCHOTE GmbH,1992-03,,ACTIVE,Other,Professional,212
KAISERSCHOTE Feinkost Catering GmbH,https://www.linkedin.com/company/kaiserschote,Geschäftsführer,1992-02,,ACTIVE,Other,Management,212
KAISERSCHOTE | GENUSSMOMENTE für reales und digitales Zusammensein,,Geschäftsführer,1992-02,,ACTIVE,Other,Management,212
BBHT Beratungsgesellschaft mbH & Co. KG,https://www.linkedin.com/company/bbht-beratungsgesellschaft-mbh-&-co-kg,Geschäftsführender Gesellschafter,2015-02,,ACTIVE,Other,Management,213
BBHT Beratungsgesellschaft mbH & Co. KG,https://www.linkedin.com/company/bbht-beratungsgesellschaft-mbh-&-co-kg,Senior Managing Consultant,2015-01,,ACTIVE,Consulting,Senior,213
BBHT Solutions S.R.L.,https://www.linkedin.com/company/bbht-solutions,Geschäftsführer,2019-02,,ACTIVE,Other,Management,213
viadee Unternehmensberatung GmbH,https://www.linkedin.com/company/viadee,Senior Consultant,1996-02,2015-01,INACTIVE,Consulting,Senior,213
Ing. Büro W.Meier GmbH,,CEO,1989-03,,ACTIVE,Other,Management,214
Elmes Staub & Co,,Entwicklungs Ingenieur,1983-04,1989-02,INACTIVE,Information Technology,Professional,214
Casas André Luiz,https://www.linkedin.com/company/casasandreluiz,Gerente de Comunicação e Marketing,2024-06,,ACTIVE,Marketing,Professional,215
C2L Communication to Lead,https://www.linkedin.com/company/c2l-communication-to-lead,Gestora de projetos,2021-10,2023-07,INACTIVE,Project Management,Lead,215
The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company,Gerente de Marketing Rádio Disney Brasil,2014-07,2019-01,INACTIVE,Marketing,Professional,215
The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company,Coordenadora Sênior de Comunicação,2006-02,2014-07,INACTIVE,Marketing,Lead,215
Zenza Comunicação,,Assessora de Imprensa,2001-07,2005-12,INACTIVE,Marketing,Professional,215
Ketchum,https://www.linkedin.com/company/ketchum,Assessora de Imprensa,2000-07,2001-06,INACTIVE,Marketing,Professional,215
LM&X Comunicação Ltda,,Assessora de Imprensa,1995-01,2000-06,INACTIVE,Marketing,Professional,215
Vidrados bs,,Operadora de empilhadeira,,,UNKNOWN,Other,Professional,216
BPOLAK,,Beamter,,,UNKNOWN,Other,Professional,217
Karwendel-Werke Huber GmbH & Co. KG,https://www.linkedin.com/company/karwendel-werke-huber-gmbh-co-kg,Geschäftsführer Finanzen,2006-05,,ACTIVE,Other,Management,218
A-ROSA Kreuzfahrten,https://www.linkedin.com/company/a-rosa-kreuzfahrten,CEO,2025-02,,ACTIVE,Other,Management,219
GALERIA Reisen GmbH / Galeria Karstadt Kaufhof,,Geschäftsführer / Leitung Reisen Galeria Karstadt Kaufhof,2019-08,2025-02,INACTIVE,Other,Management,219
DER Touristik,https://www.linkedin.com/company/dertourdeutschland,Geschäftsführer,2014-10,2019-07,INACTIVE,Other,Management,219
DER Touristik Hotels & Resorts,https://www.linkedin.com/company/dertour-hotels-resorts,CEO,2008-10,2014-09,INACTIVE,Other,Management,219
TUI Deutschland,,Leiter Einkauf Central Europe,2006-07,2008-09,INACTIVE,Purchasing,Lead,219
TUI Deutschland,,General Manager Business Unit,2004-01,2006-06,INACTIVE,Other,Management,219
"Tui Deutschland, 1-2-Fly",https://www.linkedin.com/company/tui-deutschland-1-2-fly,Abteilungsleiter,2001-03,2003-12,INACTIVE,Other,Lead,219
TUI Deutschland,,Produktmanager,1989-08,2001-02,INACTIVE,Project Management,Professional,219
Beppe Spadacini,,masterblaster,,,UNKNOWN,Other,Professional,220
de Taxatheek,,Algemeen directeur,1996-01,,ACTIVE,Other,Management,221
JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,Executive Director,2017-03,,ACTIVE,Other,Management,222
BofA,https://www.linkedin.com/company/bank-of-america,Director,2000-07,2016-03,INACTIVE,Other,Director,222
Banco BGN Argentina,,Equity Research,1998,1999,INACTIVE,Consulting,Professional,222
Duff & Phelps,https://www.linkedin.com/company/duff-&-phelps,Credit Risk Analyst,1997,1998,INACTIVE,Other,Professional,222
Banco Central de la República Argentina,https://www.linkedin.com/company/bancocentraldelarepublicaargentina,Financial Analyst,1996,1997,INACTIVE,Other,Professional,222
Bournemouth University,,Student Records Manager,,,UNKNOWN,Administrative,Lead,223
ENOUGH,https://www.linkedin.com/company/enough-food,Supply Chain Lead & Master Planning,2024-10,,ACTIVE,Other,Lead,224
