organization,position,startDate,endDate,status,department,seniority,person_id,job_count,job_duration_years
Mannesmann Demag Fördertechnik AG,IT Projectmanager,1994-01,1996-01,INACTIVE,Information Technology,Professional,117,10,2.0
Mannesmann Demag Fördertechnik AG,IT Specialist,1991-01,1994-01,INACTIVE,Information Technology,Professional,117,10,3.0027397260273974
LAMANO MÜNCHEN,NAILARTIST,2023-01,2025-12,ACTIVE,Other,Professional,118,1,2.9178082191780823
DDV Mediengruppe,CEO Morgenpost & TAG 24 | Vertriebsleiter Sächsische Zeitung / Lesermark | CEO MVD Ökoflitzer,1991-10,2025-12,ACTIVE,Other,Lead,119,1,34.19178082191781
Equipnor AS,Key Account / Supply Manager,2002-09,2025-12,ACTIVE,Other,Lead,120,3,23.265753424657536
Hellemyr Eiendom AS,Styreleder / Partner,2003-03,2025-12,ACTIVE,Other,Management,120,3,22.76986301369863
TIL Hovding,Leder fotballgruppe TIL Hovding,2020-03,2022-03,INACTIVE,Other,Lead,120,3,2.0
LSDGmbH,Vertriebsleiter,1995-01,2010-07,INACTIVE,Sales,Lead,121,2,15.506849315068493
Nukem GmbH,Vertriebsverantwortlicher Behältertechnik,1971-01,1999-01,INACTIVE,Sales,Lead,121,2,28.019178082191782
Cambria Hotel Mall of America,Director of Sales,2022-01,2024-05,INACTIVE,Sales,Director,122,10,2.3315068493150686
Country Inn & Suites by Radisson,Director of Sales,2018-05,2020-05,INACTIVE,Sales,Director,122,10,2.0027397260273974
Airport Marriott Bloomington,Corporate Sales Manager,2016-08,2018-04,INACTIVE,Sales,Professional,122,10,1.6657534246575343
Interstate Hotels & Resorts,Dual Sales Manager Hilton Garden Inn/Holiday Inn Express,2015-08,2016-07,INACTIVE,Sales,Professional,122,10,0.9178082191780822
"Embassy Suites Bloomington, Aimbridge Hospitality",Director of Sales,2014-08,2015-07,INACTIVE,Sales,Director,122,10,0.915068493150685
Ramada Airport Bloomington Hotel,Assistant Director of Sales/Senior Sales Manager,2012-10,2014-08,INACTIVE,Sales,Director,122,10,1.832876712328767
Jackpot Junction Casino Hotel,Director of Group Sales,2012-01,2012-10,INACTIVE,Sales,Director,122,10,0.7506849315068493
La Quinta Inn & Suites and Airport La Quinta property,Area Director of Sales Marketing,2009-04,2011-10,INACTIVE,Sales,Director,122,10,2.5013698630136987
Doubletree Park Place Hotel,Senior Group Sales Manager,2007-05,2009-05,INACTIVE,Sales,Senior,122,10,2.0027397260273974
Ramada Mall of America,Assistant Director of Sales/Senior Group Sales Manager,1997-05,2007-05,INACTIVE,Sales,Director,122,10,10.005479452054795
SHF GmbH,Industriekauffrau,2023-01,2025-12,ACTIVE,Administrative,Professional,123,1,2.9178082191780823
Mercedes-Benz AG,Projektleiter Qualität HV-Batterie,2019-12,2025-12,ACTIVE,Project Management,Lead,124,9,6.005479452054795
Mercedes-Benz AG,Project Manager,2017-12,2019-12,INACTIVE,Project Management,Professional,124,9,2.0
Mercedes-Benz AG,Strategieplaner,2016-09,2017-11,INACTIVE,Consulting,Professional,124,9,1.167123287671233
"Beijing Benz Automotive Co., Ltd.",Project Manager,2014-04,2016-08,INACTIVE,Project Management,Professional,124,9,2.336986301369863
Daimler AG,Project Manager,2013-06,2014-03,INACTIVE,Project Management,Professional,124,9,0.7479452054794521
Karlsruher Institut für Technologie (KIT),Research Associate,2008-09,2013-02,INACTIVE,Consulting,Junior,124,9,4.421917808219178
"Shanghai Turbine Works Co., Ltd.",Internship,2006-04,2006-05,INACTIVE,Other,Junior,124,9,0.0821917808219178
McKinsey & Company,Internship,2006-02,2006-04,INACTIVE,Other,Junior,124,9,0.16164383561643836
IAV GmbH,Internship,2003-08,2003-10,INACTIVE,Other,Junior,124,9,0.16712328767123288
Giesecke+Devrient,Global Director Head of Portfolio and Business Development Global Service,2021-07,2025-12,ACTIVE,Business Development,Director,125,8,4.421917808219178
Stratasys,Director Business & Sales Development Services EMEA,2018-02,2021-07,INACTIVE,Business Development,Director,125,8,3.4136986301369863
Stratasys,Business Manager Customer Support EMEA,2012-04,2018-02,INACTIVE,Customer Support,Professional,125,8,5.841095890410959
Stratasys,Field Manager Customer Support Europa,2009-08,2012-03,INACTIVE,Customer Support,Professional,125,8,2.5835616438356164
SAKI Europe Gmbh,European Service Manager,2008-04,2009-07,INACTIVE,Customer Support,Professional,125,8,1.2493150684931507
Orbotech,Customer Support Manager Europa,2005-03,2008-03,INACTIVE,Customer Support,Professional,125,8,3.0027397260273974
Weha Ludwig Werwein GmbH,Leiter der Abteilung Service-Produktionsanlagentechnik,2001-04,2005-03,INACTIVE,Other,Lead,125,8,3.9178082191780823
Orbotech,"Customer Support Manager für Süddeutschland, Österreich und Schweiz",1998-03,2001-03,INACTIVE,Customer Support,Professional,125,8,3.0027397260273974
Verein gin,Betreuer,2023-01,2025-12,ACTIVE,Customer Support,Professional,126,1,2.9178082191780823
Thayer Academy,Summer Camp Counselor,2019-06,2025-12,ACTIVE,Other,Professional,127,4,6.506849315068493
Target,Style Consultant,2021-02,2023-07,INACTIVE,Consulting,Professional,127,4,2.410958904109589
Common Market/Darcy's Village Pub,Delivery Driver,2021-05,2022-06,INACTIVE,Other,Professional,127,4,1.084931506849315
Challenger League,Volunteer,2018-04,2020-06,INACTIVE,Other,Junior,127,4,2.16986301369863
Davidson Kempner Capital Management,Project Lead for Swap Re-engineering Project,2024-09,2025-12,ACTIVE,Project Management,Lead,128,5,1.2493150684931507
FILLY BROOK LTD,Business Owner,2019-03,2025-12,ACTIVE,Other,Management,128,5,6.758904109589041
Citigroup,Prime Finance - Product Development & Client Facing Technology,2009-09,2024-08,INACTIVE,Other,Professional,128,5,14.926027397260274
Technique Consultancy UK Ltd,Director,2007-06,2009-09,INACTIVE,Other,Director,128,5,2.254794520547945
Morgan Stanley,Vice President,1997-03,2007-05,INACTIVE,Other,Management,128,5,10.172602739726027
Frankfurt School of Finance & Management,Kanzler / CFO,2017-11,2025-12,ACTIVE,Other,Management,129,6,8.087671232876712
Frankfurt School of Finance & Management,Kaufmännische Leiterin,2015-04,2025-12,ACTIVE,Other,Lead,129,6,10.676712328767124
Frankfurt School of Finance & Management,Head of Accounting & Controlling,2009-01,2025-12,ACTIVE,Other,Lead,129,6,16.926027397260274
Frankfurt School of Finance & Management,"Member of the Board, Frankfurt School Stiftung",2010-03,2025-12,ACTIVE,Other,Management,129,6,15.764383561643836
SCDM,Prokurist,2013-07,2017-08,INACTIVE,Other,Management,129,6,4.087671232876712
Pendragon PLC,Finance Leader,2002-01,2008-12,INACTIVE,Other,Lead,129,6,6.920547945205479
LayTec,Manager Purchasing,2023-01,2025-12,ACTIVE,Purchasing,Professional,130,1,2.9178082191780823
Lebenhilfe Augsburg,Personalleiter,2025-04,2025-12,ACTIVE,Human Resources,Lead,131,5,0.6684931506849315
Selbstständig,Rechtsanwalt,1995-06,2025-12,ACTIVE,Other,Professional,131,5,30.523287671232875
Nagel TK Beteiligungs GmbH,HR Manager,2000-10,2025-03,INACTIVE,Human Resources,Professional,131,5,24.43013698630137
Dorsch Gruppe / Consultant Company,Personalleiter,1998-06,2000-09,INACTIVE,Human Resources,Lead,131,5,2.254794520547945
Cartera Management Holding,Referent Personal & Recht,1996-04,1998-06,INACTIVE,Human Resources,Professional,131,5,2.1671232876712327
The Johns Hopkins University,Assistant Director of Prospect Management and Data Analytics,2023-07,2025-12,ACTIVE,Other,Director,132,5,2.421917808219178
michaelbtager.com,"Writer, Editor, Publisher",2012-08,2025-12,ACTIVE,Marketing,Professional,132,5,13.342465753424657
Maryland Institute College of Art,Advancement Database Manager,2022-06,2023-09,INACTIVE,Information Technology,Professional,132,5,1.252054794520548
Maryland Institute College of Art,Advancement Database Coordinator,2018-12,2022-06,INACTIVE,Administrative,Lead,132,5,3.5013698630136987
"University of Maryland, Baltimore",Research Project Manager,2006-08,2018-06,INACTIVE,Project Management,Professional,132,5,11.841095890410958
Jugendmusikschule Württembergisches Allgäu,"Klavierlehrer, Korrepetitor",2001-09,2025-12,ACTIVE,Other,Professional,133,3,24.265753424657536
"Bertolt-Brecht-Schule, Nürnberg",Musiklehrer (StR z. A.),2000-02,2001-07,INACTIVE,Other,Professional,133,3,1.4136986301369863
"Ohm-Gymnasium, Erlangen",Studienreferendar (Musik),1998-02,2000-02,INACTIVE,Other,Junior,133,3,2.0
Alexander Hughes Germany / Alexander Hughes International,Managing Partner / Group Managing Board,2006-02,2025-12,ACTIVE,Other,Management,134,4,19.843835616438355
NEXECUTE Executive Search,Managing Partner / Founder,2001-01,2006-01,INACTIVE,Other,Management,134,4,5.002739726027397
Hager Neumann Badura Unternehmensberatung,Co-Founder,1998-01,2001-01,INACTIVE,Other,Management,134,4,3.0027397260273974
"Executive Search Company, Frankfurt",Partner,1994-01,1998-01,INACTIVE,Business Development,Management,134,4,4.002739726027397
Queensland Corrective Services,Manager,2025-01,2025-12,ACTIVE,Other,Professional,135,7,0.915068493150685
Self-employed,Consultant,2023-10,2024-12,INACTIVE,Consulting,Professional,135,7,1.16986301369863
Pastoral Partners Australia,Senior Corporate Manager,2022-07,2023-07,INACTIVE,Business Development,Senior,135,7,1.0
Wide Bay Hospital and Health Service,Executive Director HR Services,2014-02,2022-06,INACTIVE,Human Resources,Director,135,7,8.334246575342465
"Department of Health, Queensland",Human Resources Manager,2010-06,2014-02,INACTIVE,Human Resources,Professional,135,7,3.673972602739726
Department of State Development (DEEDI/DPI),Principal Advisor,2007-01,2010-01,INACTIVE,Consulting,Senior,135,7,3.0027397260273974
Department of Environment and Resource Management,Senior Advisor,2001-01,2007-01,INACTIVE,Consulting,Senior,135,7,6.002739726027397
Black Forest Business Solutions,Founder and Senior Partner,2012-01,2025-12,ACTIVE,Consulting,Management,136,16,13.926027397260274
Grand Valley State University,Visiting Professor of Finance,2023-08,2024-05,INACTIVE,Other,Professional,136,16,0.7506849315068493
Babson College,Visiting Scholar,2015-06,2016-01,INACTIVE,Consulting,Professional,136,16,0.5863013698630137
Stetson University,"Dean, School of Business",2012-06,2015-05,INACTIVE,Other,Professional,136,16,2.915068493150685
"California State University, Fullerton",Rick Muth Family Endowed Professor of Family Business,2009-08,2012-05,INACTIVE,Other,Professional,136,16,2.750684931506849
Tiger Consulting,Founder and President,2009-04,2011-12,INACTIVE,Other,Management,136,16,2.6684931506849314
Athens University of Economics and Business,Visiting Professor of Entrepreneurship,2002-08,2011-08,INACTIVE,Consulting,Professional,136,16,9.005479452054795
Grand Valley State University,"Director, Center for Free Enterprise: Family Owned Business Institute & Center for Entrepreneurship",2000-07,2009-08,INACTIVE,Business Development,Director,136,16,9.09041095890411
"Distance Learning Dynamics, Inc.",Partner,2002-12,2005-12,INACTIVE,Business Development,Management,136,16,3.0027397260273974
"Nu Gardener, LLC",Founder and President,1999-05,2000-10,INACTIVE,Other,Management,136,16,1.4219178082191781
"Ampro Industries, Inc.",Chief Operating Officer and Treasurer,1996-12,1999-05,INACTIVE,Other,Management,136,16,2.4136986301369863
"Faculty of Economy, University of Shkodra ""Luigj Gurakuqi""",Project Director of USIA Business Development Grant,1994-01,1996-12,INACTIVE,Business Development,Director,136,16,2.9178082191780823
Southern Illinois University,Assistant/Associate Professor of Finance,1988-08,1996-12,INACTIVE,Other,Professional,136,16,8.33972602739726
University of Nevada,Assistant Professor of Finance,1984-08,1988-05,INACTIVE,Other,Professional,136,16,3.750684931506849
TransMarket Group,Research Analyst and Trader,1983-06,1984-08,INACTIVE,Other,Professional,136,16,1.16986301369863
Chicago Merchantile Exchange,Research Fellow,1980-06,1980-09,INACTIVE,Other,Professional,136,16,0.25205479452054796
LÖHR & BECKER Aktiengesellschaft,Vorsitzender des Vorstandes,2002-06,2025-12,ACTIVE,Other,Management,137,4,23.517808219178082
Löhr & Becker GmbH & Co. KG,Geschäftsführer der Holding,2001-09,2002-05,INACTIVE,Other,Management,137,4,0.663013698630137
Audi Zentren & Löhr Automobile,Geschäftsführer,1996-01,2001-09,INACTIVE,Other,Management,137,4,5.671232876712328
Löhr & Becker GmbH & Co. KG,Assistent der Geschäftsleitung,1995-03,1995-12,INACTIVE,Administrative,Lead,137,4,0.7534246575342466
FTI Engineering Network GmbH,Head of Engineering,2022-07,2025-12,ACTIVE,Information Technology,Lead,138,8,3.421917808219178
FTI Engineering Network GmbH,Software Engineering Team Lead,2015-01,2022-06,INACTIVE,Information Technology,Lead,138,8,7.419178082191781
FTI Engineering Network GmbH,Software Engineer,2014-09,2022-06,INACTIVE,Information Technology,Professional,138,8,7.7534246575342465
GSP Sprachtechnologie GmbH,Software Project Manager,2013-07,2014-09,INACTIVE,Project Management,Professional,138,8,1.16986301369863
Bundeswehr Wir. Dienen. Deutschland.,Software Project Manager,2009-04,2013-06,INACTIVE,Project Management,Professional,138,8,4.16986301369863
Bundeswehr Wir. Dienen. Deutschland.,Software Engineer,2007-05,2013-06,INACTIVE,Information Technology,Professional,138,8,6.090410958904109
Bundeswehr Wir. Dienen. Deutschland.,Technical Officer,2006-05,2007-05,INACTIVE,Information Technology,Professional,138,8,1.0
EADS Defence & Security,Software Engineer,2007-05,2013-06,INACTIVE,Information Technology,Professional,138,8,6.090410958904109
Bethesda Khs Stuttgart,Oberarzt UC,2023-01,2025-12,ACTIVE,Other,Management,139,1,2.9178082191780823
FedEx Express,District Sales manager,1995-06,2025-12,ACTIVE,Sales,Lead,140,1,30.523287671232875
EFG Bank,Assistant Treasurer Real Estate,2017-04,2025-12,ACTIVE,Other,Junior,141,3,8.673972602739726
BSI Bank,Assistant Treasurer Real Estate,2008-07,2025-12,ACTIVE,Other,Junior,141,3,17.43013698630137
Banca Del Gottardo,Assistant Treasurer Real Estate,1991-04,2008-06,INACTIVE,Other,Junior,141,3,17.18082191780822
NP4 GmbH,Managing Dircector,1997-11,2025-12,ACTIVE,Other,Management,142,1,28.101369863013698
SouthEast Bank,Director of Business Analysts and Special Projects,2025-02,2025-12,ACTIVE,Information Technology,Director,143,7,0.8301369863013699
SouthEast Bank,Systems Analyst,2020-01,2025-03,INACTIVE,Information Technology,Professional,143,7,5.167123287671233
eGovernment Solutions Inc.,Director of TN Operations,2018-11,2020-01,INACTIVE,Other,Director,143,7,1.167123287671233
GC Services,Project Leader/Business Analyst,2010-08,2018-02,INACTIVE,Project Management,Lead,143,7,7.50958904109589
"Elavon, Inc.",Information Security Risk Assessment - Program Manager,2009-06,2010-05,INACTIVE,Project Management,Professional,143,7,0.915068493150685
Elavon Merchant Services,Information Security Risk Assessment,2009-01,2010-05,INACTIVE,Information Technology,Professional,143,7,1.3287671232876712
GC Services,IT Business Analyst,2005-06,2008-06,INACTIVE,Information Technology,Professional,143,7,3.0027397260273974
EDAG Austria,Robotertechniker,2020-01,2025-12,ACTIVE,Information Technology,Professional,144,1,5.920547945205479
Sozialversicherung der Selbständigen,OÖ Koordinator für das Team der Bereiche Beschlagwortung / Zustellproblem,2023-01,2025-12,ACTIVE,Purchasing,Lead,145,14,2.9178082191780823
Sozialversicherung der Selbständigen,Sachbearbeiter in der Beschlagwortung / Rückpost,2020-08,2025-12,ACTIVE,Purchasing,Professional,145,14,5.336986301369863
Sozialversicherung der Selbständigen,Mitarbeiter im Kanzleidienst,2018-04,2020-07,INACTIVE,Administrative,Professional,145,14,2.252054794520548
BBRZ GRUPPE - VEREIN ZUR FÖRDERUNG DER BBRZ GRUPPE,Ausbildung zum Finanz- und Rechnungswesenassistent,2017-09,2018-03,INACTIVE,Other,Junior,145,14,0.4958904109589041
BBRZ GRUPPE - VEREIN ZUR FÖRDERUNG DER BBRZ GRUPPE,Ausbildung zum Bürokaufmann,2016-02,2017-09,INACTIVE,Administrative,Junior,145,14,1.5835616438356164
KCS.net (now Avanade),Kaufmännischer Sachbearbeiter,2014-12,2015-12,INACTIVE,Administrative,Professional,145,14,1.0
Antje Weißböck,Mitarbeiter im Back Office,2014-06,2014-11,INACTIVE,Administrative,Professional,145,14,0.4191780821917808
HORNBACH Baumarkt AG,"Telefonischer Kundenservice, First Level Support",2013-05,2014-05,INACTIVE,Customer Support,Junior,145,14,1.0
Green Clean GmbH,Assistenz der Geschäftsführung,2007-01,2012-08,INACTIVE,Administrative,Lead,145,14,5.586301369863014
ECOTEC COMPUTER Data World GmbH,Administration der Filiale Salzburg,2006-06,2007-01,INACTIVE,Administrative,Lead,145,14,0.5863013698630137
"IDS Heiler Wolfgang, gewerblicher Buchhalter",Kaufmännische Sachbearbeitung - Buchhaltungsvorbereitung - Back Office,2005-07,2007-01,INACTIVE,Administrative,Professional,145,14,1.5041095890410958
PHOTON Handelsges.mbH,Kaufmännischer Sachbearbeiter & Logistikverwaltung,2002-03,2005-07,INACTIVE,Other,Professional,145,14,3.336986301369863
OÖ Hilfswerk GmbH,Zivildienst im OÖ Hilfswerk,2001-02,2002-01,INACTIVE,Other,Professional,145,14,0.915068493150685
Schweitzer Warenhandel GmbH,Einzelhandelskaufmann,2000-04,2001-01,INACTIVE,Other,Professional,145,14,0.7534246575342466
IBM iX DACH,Head of Content & Workflows,2024-01,2025-12,ACTIVE,Marketing,Lead,146,12,1.917808219178082
IBM iX DACH,Head Of Business Consulting | Content & Digital Assets,2022-04,2025-12,ACTIVE,Other,Lead,146,12,3.671232876712329
IBM iX DACH,Portfolio Manager,2022-10,2024-11,INACTIVE,Other,Professional,146,12,2.0876712328767124
IBM iX,Head of Business Consulting,2021-04,2022-04,INACTIVE,Consulting,Lead,146,12,1.0
IBM iX,Senior Business Analyst,2016-06,2022-04,INACTIVE,Consulting,Senior,146,12,5.835616438356165
IBM iX,Expertise Lead Adobe Website/CMS Projects - Senior AX,2019-05,2021-04,INACTIVE,Information Technology,Lead,146,12,1.9205479452054794
ecx.io - an IBM Company,Senior Digital Strategy Consultant ; Senior Business Analyst (Adobe Experience Cloud),2018-11,2021-04,INACTIVE,Consulting,Senior,146,12,2.4164383561643836
ecx.io - an IBM Company,Digital Strategy Consultant ; Business Analyst (Adobe Experience Cloud),2017-01,2018-10,INACTIVE,Consulting,Professional,146,12,1.747945205479452
ecx.io - an IBM Company,Business Analyst (Adobe Experience Cloud),2016-11,2017-12,INACTIVE,Information Technology,Professional,146,12,1.082191780821918
ecx.io - an IBM Company,Project Manager,2016-07,2016-10,INACTIVE,Project Management,Professional,146,12,0.25205479452054796
BP,Project Manager,2012-05,2016-06,INACTIVE,Project Management,Professional,146,12,4.087671232876712
SMF KG,Business Analyst / IT-Consultant,2012-05,2014-09,INACTIVE,Consulting,Professional,146,12,2.336986301369863
SCIERIE COLLIGNON,Scierie collignon,2015-01,2025-12,ACTIVE,Other,Professional,147,1,10.923287671232877
Tyrrestrup,Godsejer,2000-01,2018-01,INACTIVE,Other,Management,148,1,18.013698630136986
Deichmann SE,Senior Microsoft 365 Engineer,2024-04,2025-12,ACTIVE,Information Technology,Senior,149,4,1.6684931506849314
Deichmann,Gruppenleiter Workplace,2018-10,2024-06,INACTIVE,Information Technology,Lead,149,4,5.671232876712328
IHK-GfI,Microsoft Exchange Administration,2018-04,2018-09,INACTIVE,Information Technology,Professional,149,4,0.4191780821917808
Douglas Informatik & Service GmbH,Kollaborationsadministrator,2008-05,2018-03,INACTIVE,Administrative,Professional,149,4,9.838356164383562
ZF Group,Product Manager Online Catalog & Shop,2024-04,2025-12,ACTIVE,Other,Professional,150,5,1.6684931506849314
ZF Group,Product Owner Online Ordering,2023-06,2024-05,INACTIVE,Other,Professional,150,5,0.9178082191780822
ZF Group,Employee Digital Experience and Market Applications,2019-01,2023-11,INACTIVE,Marketing,Professional,150,5,4.835616438356165
ZF Group,Employee Webpage Management,2014-05,2018-12,INACTIVE,Information Technology,Professional,150,5,4.589041095890411
ZF Group,Intern Corporate Media and International PR,2013-09,2014-02,INACTIVE,Marketing,Junior,150,5,0.4191780821917808
ISP Stahlbauplanung,Diplom Bauingenieur,1998-11,2025-12,ACTIVE,Other,Professional,151,1,27.101369863013698
JPMorgan Chase & Co.,"Executive Director, Marketing Strategy Director",2014-07,2025-12,ACTIVE,Marketing,Management,152,3,11.427397260273972
Air National Guard,Intelligence Operations Manager,2008-04,2014-07,INACTIVE,Other,Professional,152,3,6.252054794520548
United States Air Force,Intelligence Operations Analyst,2004-04,2008-04,INACTIVE,Other,Professional,152,3,4.002739726027397
VRG GmbH,Leiter Controlling und Rechnungswesen,1990-01,2025-12,ACTIVE,Other,Lead,153,1,35.93972602739726
"Liberty Civil Construction, LLC",President,2016-08,2025-12,ACTIVE,Other,Management,154,6,9.33972602739726
"C.C. Carlton Industries, Ltd.",Vice President,2013-11,2016-05,INACTIVE,Other,Management,154,6,2.4986301369863013
DNT,Senior Project Manager,2012-09,2013-11,INACTIVE,Project Management,Senior,154,6,1.167123287671233
Ranger Excavating,Senior Project Manager,2011-08,2012-08,INACTIVE,Project Management,Senior,154,6,1.0027397260273974
A Greater Austin Development Co.,Senior Project Manager,2011-04,2011-08,INACTIVE,Project Management,Senior,154,6,0.33424657534246577
J.C. Evans Construction,Senior Project Manager,1993-05,2011-04,INACTIVE,Project Management,Senior,154,6,17.92876712328767
Kreisverwaltung Darmstadt-Dieburg,"Architektin, Fachgebietsleitung Technisches und Strategisches Gebäudemanagement",2024-10,2025-12,ACTIVE,Project Management,Lead,155,4,1.167123287671233
Kreisverwaltung Landkreis Darmstadt-Dieburg,"Projektmanagement, Organisationsentwicklung",2018-04,2024-09,INACTIVE,Project Management,Professional,155,4,6.424657534246576
Wilma Bau- und Entwicklungsgesellschaft mbH,Architektin,2007-02,2018-03,INACTIVE,Other,Professional,155,4,11.084931506849315
WiBa Baumanufactur GmbH,Architektin,2005-03,2007-01,INACTIVE,Other,Professional,155,4,1.8383561643835618
Deichmann,Shop Manager,2019-04,2021-01,INACTIVE,Administrative,Lead,156,4,1.7561643835616438
Deichmann,Assistant shop Manager,2018-10,2019-04,INACTIVE,Other,Lead,156,4,0.4986301369863014
C’era Una Volta in America,Responsabile del personale,2016-01,2018-09,INACTIVE,Human Resources,Lead,156,4,2.6684931506849314
Margi abbigliamento,Addetto alle vendite,2013-09,2015-12,INACTIVE,Sales,Professional,156,4,2.249315068493151
VIRTWO,Co-CEO,2022-10,2025-12,ACTIVE,Other,Management,157,15,3.16986301369863
MBCC Group,Head of Digital Excellence,2021-10,2022-10,INACTIVE,Marketing,Lead,157,15,1.0
MBCC Group,Global Digital Excellence Manager,2021-05,2021-10,INACTIVE,Marketing,Professional,157,15,0.4191780821917808
MBCC Group,Head of IT Management DACH,2020-10,2021-05,INACTIVE,Information Technology,Lead,157,15,0.5808219178082191
BASF Construction Solutions GmbH,Head of IT Management DACH,2020-07,2020-10,INACTIVE,Information Technology,Lead,157,15,0.25205479452054796
BASF Construction Solutions GmbH,Turnkey Manager DACH,2019-07,2020-07,INACTIVE,Project Management,Professional,157,15,1.0027397260273974
MarCommunication,Communication & Project Management,2015-07,2019-07,INACTIVE,Project Management,Professional,157,15,4.002739726027397
ENQT GmbH,Senior Projektmanager,2017-12,2018-12,INACTIVE,Project Management,Senior,157,15,1.0
ACHT,Kommunikation & Projektmanagement,2016-12,2017-12,INACTIVE,Other,Professional,157,15,1.0
ENQT GmbH,Geschäftsführer,2016-03,2017-04,INACTIVE,Other,Management,157,15,1.084931506849315
app22 UG (haftungsbeschränkt),Freelancer - MarCommunication,2015-11,2016-02,INACTIVE,Marketing,Professional,157,15,0.25205479452054796
Lufthansa Systems,Berater,2014-04,2015-06,INACTIVE,Consulting,Professional,157,15,1.167123287671233
Lufthansa Systems AG,Self Employed Consultant,2013-06,2014-03,INACTIVE,Consulting,Professional,157,15,0.7479452054794521
Arbeiterwohlfahrt,Assistent der Geschäftsführung,2010-11,2013-06,INACTIVE,Administrative,Lead,157,15,2.5835616438356164
DHL,Trainee,2007-10,2010-11,INACTIVE,Other,Junior,157,15,3.0876712328767124
Konzept Eins,Grafiker,2023-01,2025-12,ACTIVE,Marketing,Professional,158,1,2.9178082191780823
ELITBIR,IT HOSTING,2023-01,2025-12,ACTIVE,Information Technology,Professional,159,1,2.9178082191780823
Bogner Construction Company,Vice President,1997-05,2025-12,ACTIVE,Other,Management,160,1,28.605479452054794
Hospital Management Group GmbH,Krankenhausgeschäftsführer,2021-01,2025-12,ACTIVE,Other,Management,161,5,4.917808219178082
St. Elisabeth Krankenhaus Damme,Krankenhausgeschäftsführer,2021-01,2021-01,INACTIVE,Other,Management,161,5,0.0
Helios Kliniken GmbH,Krankenhausgeschäftsführer,2006-01,2021-01,INACTIVE,Other,Management,161,5,15.01095890410959
AOK-Bundesverband,Referent,2003-01,2006-01,INACTIVE,Other,Lead,161,5,3.0027397260273974
Arvato Services Bertelsmann,Assistent der Geschäftsleitung,2001-01,2003-01,INACTIVE,Administrative,Lead,161,5,2.0
Atos Information Technology GmbH,Co-Head of Bid Management CE,2023-10,2025-12,ACTIVE,Sales,Lead,162,5,2.16986301369863
Atos Information Technology GmbH,Bid Manager,2011-10,2025-12,ACTIVE,Sales,Lead,162,5,14.178082191780822
ODDO BHF Corporates & Markets AG,IT ServiceDesk,2001-08,2011-10,INACTIVE,Information Technology,Professional,162,5,10.172602739726027
ODDO BHF Corporates & Markets AG,"Syndizierung und Verbriefung von Spezialfinanzierungen, Asset Backed Securities und CDOs",1999-05,2001-07,INACTIVE,Other,Professional,162,5,2.16986301369863
ODDO BHF Corporates & Markets AG,International and National Corporate Accounting Specialist,1995-10,1999-04,INACTIVE,Other,Professional,162,5,3.5013698630136987
GO! Express & Logistics,Leiter IT-Service- und Betriebsmanagement,2025-04,2025-12,ACTIVE,Information Technology,Lead,163,10,0.6684931506849315
plusserver,Product Director,2023-11,2025-03,INACTIVE,Marketing,Director,163,10,1.3315068493150686
Quarzwerke GmbH,Gruppenleiter IT-Operations,2019-05,2023-11,INACTIVE,Information Technology,Lead,163,10,4.506849315068493
Prüfungsverband deutscher Banken e.V.,IT Koordinator mit Schwerpunkt Intranet/Internet/Extranet und Kollaboration,2017-05,2019-04,INACTIVE,Information Technology,Lead,163,10,1.917808219178082
Prüfungsverband deutscher Banken e.V.,Notfallmanager,2016-05,2019-04,INACTIVE,Other,Lead,163,10,2.9178082191780823
Prüfungsverband deutscher Banken e.V.,Gruppenleitungen IT,2006-05,2017-04,INACTIVE,Information Technology,Lead,163,10,10.926027397260274
Prüfungsverband deutscher Banken e.V.,Netzwerk und Systemadministrator,2003-04,2006-04,INACTIVE,Information Technology,Professional,163,10,3.0027397260273974
Schlumberger,Stellvertretender Netzwerkadministrator,2001-01,2003-01,INACTIVE,Information Technology,Professional,163,10,2.0
Schlumberger,Ausbildung zum Fachinformatiker in Fachrichtung Systemintegration,2000-01,2003-01,INACTIVE,Information Technology,Junior,163,10,3.0027397260273974
Bundeswehr Wir. Dienen. Deutschland.,Wehrdienst - Hauptgefreiter - Herresführungskommando,1999-01,2000-01,INACTIVE,Other,Professional,163,10,1.0
Independent Contractor,Senior Human Resources Consultant,2022-04,2025-12,ACTIVE,Consulting,Senior,164,9,3.671232876712329
Muşat & Asociaţii,Human Resources Manager,2019-05,2022-03,INACTIVE,Human Resources,Professional,164,9,2.835616438356164
Adecco România,Senior Consultant- Professional& Executive Search Division,2016-04,2019-04,INACTIVE,Consulting,Senior,164,9,3.0
Agrium,Human Resources Manager,2014-06,2016-03,INACTIVE,Human Resources,Professional,164,9,1.7506849315068493
Agrium,Head of Recruitment (onsite recruiter/ Lugera& Makler),2012-03,2014-06,INACTIVE,Human Resources,Lead,164,9,2.252054794520548
Lugera & Makler,Human Capital Consultant,2010-03,2012-02,INACTIVE,Consulting,Professional,164,9,1.9232876712328768
Ipsos Interactive Services Romania - Bucharest,Human Resources Generalist,2008-11,2010-03,INACTIVE,Human Resources,Professional,164,9,1.3287671232876712
Kaufland Romania - Bucharest,Human Resources Specialist,2007-11,2008-10,INACTIVE,Human Resources,Professional,164,9,0.9178082191780822
